"idlowongan","namalowongan","deskripsi_loker","kategorilokasi","gaji_awal","gaji_akhir","status_loker","kuota","idkategori_loker","kategori_loker"
"13","Admin Proyek","<p><strong>Tanggung Jawab Pekerjaan:</strong></p><ul><li>Memberikan dukungan administratif kepada tim proyek untuk memastikan pelaksanaan berjalan lancar;</li><li>Membuat sales order;</li><li>Memelihara dan memperbarui dokumentasi proyek, jadwal, serta laporan;</li><li>Mengkoordinasikan rapat, mengelola jadwal, serta menangani komunikasi terkait proyek;</li><li>Memantau timeline proyek serta mengidentifikasi potensi risiko atau keterlambatan;</li><li>Berkolaborasi dengan tim lintas fungsi untuk mencapai tujuan proyek.</li></ul><p><strong>Kualifikasi Pekerjaan:</strong></p><ul><li>Minimal lulusan S1 dari semua jurusan (diutamakan Manajemen, Bisnis, atau Keuangan);</li><li>Wajib fasih berbahasa Mandarin (lisan dan tulisan) dan mampu menggunakannya sebagai bahasa kerja;</li><li>Menguasai Microsoft Office (Excel, PowerPoint, dan Word);</li><li>Memiliki minat di bidang branding, administrasi pemasaran, dan komunikasi publik;</li><li>Memiliki kemampuan manajemen, manajemen waktu, serta jiwa kepemimpinan yang baik;</li><li>Memiliki kemampuan komunikasi yang baik, mampu multitasking, serta berkepribadian terbuka;</li><li>Bersedia melakukan perjalanan dinas;</li><li>Terampil menggunakan Microsoft Office (Excel, Word, dan PowerPoint).</li></ul>","Dalam Negeri","6000000","7500000","1","20","71","Administrative Staff"
"14","Staf Penjualan / Merchandiser","<p><strong>Tanggung Jawab Pekerjaan:</strong></p><ul><li>Mengembangkan pelanggan baru sekaligus menjaga hubungan dengan pelanggan yang sudah ada untuk meningkatkan kepuasan dan loyalitas;</li><li>Bertanggung jawab atas analisis kebutuhan sampel, pengembangan desain, serta pengelolaan penawaran harga;</li><li>Mengawasi pelaksanaan produksi dan mengendalikan seluruh proses pesanan;</li><li>Mengoordinasikan jadwal produksi;</li><li>Melakukan evaluasi terhadap standar pengujian produk;</li><li>Memantau dan menelusuri perkembangan pesanan;</li><li>Menjaga komunikasi yang efektif dengan tim internal dan pelanggan.</li></ul><p><strong>Kualifikasi Pekerjaan:</strong></p><ul><li>Fasih berbahasa Mandarin, Inggris, dan Indonesia, baik lisan maupun tulisan;</li><li>Memiliki kemampuan administrasi dan tindak lanjut pesanan yang baik;</li><li>Mampu bekerja secara teliti serta menangani banyak tugas (multitasking);</li><li>Terbuka untuk lulusan baru (fresh graduate);</li><li>Memiliki pengalaman di bidang penjualan, merchandising, penanganan pelanggan, atau manajemen pesanan menjadi nilai tambah.</li></ul>","Dalam Negeri","15000000","20000000","1","10","21","Sales / Account Executive"
"15","Marketing","<ul><li>Memiliki pemahaman yang baik mengenai wilayah Jakarta, Bandung, dan sekitarnya, dengan fokus pada pengembangan kerja sama dengan pabrik pemintalan kapas dan pabrik benang, membangun basis data pelanggan, serta mengembangkan dan menjaga hubungan yang kuat dengan klien;</li><li>Mengemudikan kendaraan perusahaan untuk mendampingi manajer dan engineer dari Tiongkok saat mengunjungi pelanggan, memberikan dukungan koordinasi dengan pelanggan, serta membantu mencapai target penjualan perusahaan;</li><li>Wajib memiliki SIM yang masih berlaku dan mampu mengemudi dengan baik;</li><li>Mengenal wilayah Jakarta, Bandung, serta kawasan industri di sekitarnya;</li><li>Memiliki kemampuan komunikasi bisnis dan koordinasi yang baik;</li><li>Fasih berbahasa Mandarin (lisan dan tulisan);</li><li>Memiliki minat dan semangat di bidang penjualan dan pemasaran;</li><li>Mampu bekerja secara efektif dalam tim;</li><li>Diutamakan memiliki pengetahuan di industri tekstil.</li></ul>","Dalam Negeri","10000000","15000000","1","20","20","Marketing Executive"
"16","Pemasaran Penjualan","<p><strong>Tanggung Jawab Pekerjaan:</strong></p><ul><li>Mengidentifikasi dan mengembangkan peluang bisnis baru di pasar yang ditargetkan;</li><li>Membangun, menjaga, dan memperkuat hubungan jangka panjang dengan pelanggan serta mitra bisnis;</li><li>Melakukan riset pasar dan analisis kompetitor untuk memahami kebutuhan pelanggan;</li><li>Mempresentasikan produk, solusi, dan layanan terkait mesin kepada calon pelanggan;</li><li>Berkoordinasi dengan tim teknis dan engineering untuk memastikan kebutuhan pelanggan terpenuhi;</li><li>Menyusun penawaran harga (quotation), proposal, serta laporan penjualan;</li><li>Menindaklanjuti pertanyaan pelanggan, proses negosiasi, serta memberikan dukungan purna jual;</li><li>Mendukung strategi penjualan untuk mencapai target pendapatan perusahaan;</li><li>Melakukan kunjungan rutin ke pelanggan dan lokasi industri untuk memahami penggunaan mesin serta kebutuhan operasional.</li></ul><p><strong>Kualifikasi Pekerjaan:</strong></p><ul><li>Minimal lulusan S1 di bidang Pemasaran, Bisnis, Teknik, Teknik Mesin, Teknik Industri, atau bidang terkait;</li><li>Memiliki pengalaman di bidang penjualan dan pemasaran lebih diutamakan;</li><li>Memahami mesin industri atau permesinan menjadi nilai tambah;</li><li>Memiliki kemampuan komunikasi, negosiasi, dan presentasi yang baik;</li><li>Berorientasi pada target serta mampu bekerja secara mandiri maupun dalam tim;</li><li>Memiliki kemampuan pemecahan masalah dan penanganan pelanggan yang baik;</li><li>Memahami konsep penjualan B2B dan pengelolaan pelanggan industri menjadi nilai tambah;</li><li>Bersedia melakukan perjalanan dinas untuk kunjungan pelanggan dan pengembangan bisnis.</li></ul>","Dalam Negeri","4000000","10000000","1","10","21","Sales / Account Executive"
"17","Teknisi Mesin","<p><strong>Tanggung Jawab Pekerjaan:</strong></p><p>Memahami serta menangani permasalahan mesin mekanik dan kelistrikan, khususnya yang berkaitan dengan:</p><ul><li>Genset diesel.</li><li>Unit generator gas.</li><li>Sistem pompa tenaga.</li><li>Peralatan tenaga kelautan.</li><li>Sistem kontrol otomatis.</li></ul><ol><li>Melakukan instalasi, inspeksi, perawatan preventif, serta perbaikan mesin dan komponen kelistrikan;</li><li>Mendiagnosis kerusakan pada mesin, generator, pompa, dan panel kontrol;</li><li>Membantu proses pengujian mesin, commissioning, serta pengecekan operasional sebelum pengiriman atau pemasangan;</li><li>Memantau kinerja mesin untuk memastikan operasi yang stabil, aman, dan efisien;</li><li>Bekerja sama dengan tim engineer dan service untuk menyelesaikan permasalahan teknis;</li><li>Menyusun laporan servis, catatan perawatan, serta penggunaan suku cadang;</li><li>Mendukung penanganan gangguan darurat di lokasi pelanggan bila diperlukan.</li></ol><p><strong>Kualifikasi Pekerjaan:</strong></p><p>Minimal lulusan S1 atau D3 di bidang:</p><ul><li>Teknik Mesin.</li><li>Teknik Elektro.</li><li>Mekatronika.</li><li>Teknik Industri.</li><li>Atau bidang teknis terkait.</li></ul><p>Memiliki pemahaman yang baik mengenai mesin dan troubleshooting kelistrikan;<br>Familiar dengan:</p><ul><li>Mesin diesel.</li><li>Sistem generator.</li><li>Sistem pompa.</li><li>PLC / panel kontrol.</li><li>Sistem kelistrikan industri.</li></ul><ol><li>Diutamakan memiliki pengalaman di bidang generator, alat berat, manufaktur, kelautan, atau mesin industri;</li><li>Mampu membaca gambar teknik, diagram kelistrikan, serta manual mesin;</li><li>Memiliki kemampuan analisis dan pemecahan masalah yang baik;</li><li>Bersedia melakukan perjalanan dinas untuk perawatan di lokasi dan dukungan pelanggan;</li><li>Mampu bekerja secara mandiri maupun dalam tim.</li></ol>","Dalam Negeri","4000000","7000000","1","15","37","Mechanical Engineer"
"18","Manajer Pemasaran","<p><strong>Tanggung Jawab Pekerjaan:</strong></p><ul><li>Menyusun dan melaksanakan strategi penjualan untuk mencapai target pendapatan dan pertumbuhan perusahaan;</li><li>Memimpin, mengawasi, dan memotivasi tim penjualan guna memaksimalkan kinerja;</li><li>Membangun dan menjaga hubungan yang kuat dengan pelanggan yang sudah ada maupun calon pelanggan;</li><li>Menangani keluhan pelanggan secara profesional serta memberikan solusi yang efektif;</li><li>Mengidentifikasi peluang bisnis baru dan memperluas cakupan pasar;</li><li>Memantau aktivitas kompetitor serta tren pasar di industri pompa air;</li><li>Menyusun laporan penjualan, proyeksi, serta evaluasi kinerja secara berkala;</li><li>Berkoordinasi dengan tim internal untuk memastikan pelayanan pelanggan dan pemenuhan pesanan berjalan dengan baik;</li><li>Bersedia melakukan perjalanan dinas dan penugasan ke luar kota sesuai kebutuhan perusahaan.</li></ul><p><strong>Kualifikasi Pekerjaan:</strong></p><ul><li>Usia maksimal 40 tahun;</li><li>Minimal lulusan S1 dari semua jurusan;</li><li>Memiliki pengalaman minimal 3 tahun di bidang penjualan, diutamakan di industri pompa air atau peralatan industri;</li><li>Memahami produk pompa air serta proses penjualan dengan baik;</li><li>Memiliki rekam jejak dalam mencapai target penjualan;</li><li>Berpengalaman dalam menangani keluhan pelanggan dan layanan purna jual;</li><li>Memiliki kemampuan kepemimpinan, negosiasi, dan komunikasi yang baik;</li><li>Mampu bekerja di bawah tekanan dan berorientasi pada target;</li><li>Bersedia ditempatkan dan melakukan perjalanan dinas ke luar kota.</li></ul>","Dalam Negeri","8000000","15000000","1","2","21","Sales / Account Executive"
"19","Pemasaran Domestik","<p><strong>Tanggung Jawab Pekerjaan:</strong></p><ul><li>Menyusun dan melaksanakan strategi penjualan domestik untuk mencapai target pendapatan dan pertumbuhan perusahaan;</li><li>Memimpin, mengawasi, dan memotivasi tim penjualan guna memaksimalkan kinerja;</li><li>Membangun dan menjaga hubungan yang kuat dengan pelanggan yang sudah ada maupun calon pelanggan di dalam negeri;</li><li>Menangani keluhan pelanggan secara profesional serta memberikan solusi yang efektif;</li><li>Mengidentifikasi peluang bisnis baru dan memperluas cakupan pasar domestik;</li><li>Memantau aktivitas kompetitor serta tren pasar di industri pompa air;</li><li>Menyusun laporan penjualan, proyeksi, dan evaluasi kinerja secara berkala;</li><li>Berkoordinasi dengan tim internal untuk memastikan pelayanan pelanggan dan pemenuhan pesanan berjalan optimal;</li><li>Bersedia melakukan perjalanan dinas dan penugasan ke luar kota sesuai kebutuhan perusahaan.</li></ul><p><strong>Kualifikasi Pekerjaan:</strong></p><ul><li>Usia maksimal 40 tahun;</li><li>Minimal lulusan S1 dari semua jurusan;</li><li>Memiliki pengalaman minimal 3 tahun di bidang penjualan, diutamakan di industri pompa air atau peralatan industri;</li><li>Memahami produk pompa air serta proses penjualan dengan baik;</li><li>Memiliki rekam jejak dalam mencapai target penjualan;</li><li>Berpengalaman dalam menangani keluhan pelanggan dan layanan purna jual;</li><li>Memiliki kemampuan kepemimpinan, negosiasi, dan komunikasi yang baik;</li><li>Mampu bekerja di bawah tekanan dan berorientasi pada target;</li><li>Bersedia ditempatkan dan melakukan perjalanan dinas ke luar kota.</li></ul>","Dalam Negeri","5000000","10000000","1","2","21","Sales / Account Executive"
"20","Industri Pemasaran","<p><strong>Tanggung Jawab Pekerjaan:</strong></p><ul><li>Menyusun dan melaksanakan strategi penjualan untuk mencapai target pendapatan dan pertumbuhan perusahaan;</li><li>Memimpin, mengawasi, dan memotivasi tim penjualan untuk memaksimalkan kinerja;</li><li>Membangun dan menjaga hubungan yang kuat dengan pelanggan yang sudah ada maupun calon pelanggan;</li><li>Menangani keluhan pelanggan secara profesional serta memberikan solusi yang efektif;</li><li>Mengidentifikasi peluang bisnis baru dan memperluas cakupan pasar;</li><li>Memantau aktivitas kompetitor serta tren pasar di industri pompa air;</li><li>Menyusun laporan penjualan, proyeksi, dan evaluasi kinerja secara berkala;</li><li>Berkoordinasi dengan tim internal untuk memastikan pelayanan pelanggan dan pemenuhan pesanan berjalan dengan baik;</li><li>Bersedia melakukan perjalanan dinas dan penugasan ke luar kota sesuai kebutuhan perusahaan.</li></ul><p><strong>Kualifikasi Pekerjaan:</strong></p><ul><li>Usia maksimal 40 tahun;</li><li>Minimal lulusan S1 dari semua jurusan;</li><li>Memiliki pengalaman minimal 3 tahun di bidang penjualan, diutamakan di industri pompa air atau peralatan industri;</li><li>Memahami produk pompa air serta proses penjualan dengan baik;</li><li>Memiliki rekam jejak dalam mencapai target penjualan;</li><li>Berpengalaman dalam menangani keluhan pelanggan dan layanan purna jual;</li><li>Memiliki kemampuan kepemimpinan, negosiasi, dan komunikasi yang baik;</li><li>Mampu bekerja di bawah tekanan dan berorientasi pada target;</li><li>Bersedia ditempatkan dan melakukan perjalanan dinas ke luar kota.</li></ul>","Dalam Negeri","8000000","10000000","1","2","21","Sales / Account Executive"
"21","Spesialis Pajak","<p><strong>Kualifikasi Pekerjaan:</strong></p><ul><li>Membantu perusahaan dalam pengelolaan kepatuhan pajak di Indonesia, memastikan pelaporan pajak dilakukan secara tepat waktu dan akurat;</li><li>Bertanggung jawab atas perhitungan dan pelaporan berbagai jenis pajak perusahaan (seperti PPh 21, PPh 23, PPN, PPh Badan, dan lainnya);</li><li>Memantau perubahan kebijakan perpajakan di Indonesia, menganalisis dampaknya terhadap operasional perusahaan, serta memberikan rekomendasi kepatuhan;</li><li>Mendukung proses pemeriksaan pajak, pengembalian pajak, serta komunikasi dan koordinasi dengan otoritas pajak;</li><li>Menyiapkan data dan laporan perpajakan sesuai dengan kebutuhan kantor pusat dan audit eksternal;</li><li>Mengelola pengarsipan dokumen pajak agar lengkap dan terstandarisasi;</li><li>Menyelesaikan tugas-tugas lain yang berkaitan dengan perpajakan sesuai arahan pimpinan.</li></ul><p><strong>Persyaratan Pekerjaan:</strong></p><ul><li>Minimal lulusan S1 di bidang keuangan, akuntansi, perpajakan, atau bidang terkait;</li><li>Memahami peraturan dan prosedur perpajakan di Indonesia serta memiliki pengalaman praktis dalam pelaporan pajak;</li><li>Menguasai Excel dan perangkat lunak keuangan, serta memiliki kemampuan pengolahan data yang baik;</li><li>Mahir berbahasa Indonesia atau Inggris, serta diutamakan memiliki kemampuan komunikasi bilingual (Mandarin dan India);</li><li>Teliti, bertanggung jawab, serta memiliki kemampuan komunikasi, koordinasi, dan ketahanan terhadap tekanan yang baik;</li><li>Diutamakan memiliki pengalaman di bidang perpajakan Indonesia, khususnya pada perusahaan investasi Tiongkok atau kantor akuntan.</li></ul>","Dalam Negeri","10000000","14000000","1","2","17","Tax Specialist"
"22","Spesialis Administrasi","<p><strong>Tanggung Jawab Pekerjaan:</strong></p><ul><li>Bertanggung jawab atas koordinasi dan pelaksanaan kegiatan administrasi harian perusahaan, seperti pengadaan perlengkapan kantor, pengelolaan aset tetap, serta pengarsipan dokumen;</li><li>Membantu tugas administrasi kepegawaian dasar, termasuk proses masuk dan keluar karyawan, rekapitulasi kehadiran, serta pemeliharaan data karyawan;</li><li>Menyelesaikan tugas-tugas lain yang berkaitan sesuai arahan pimpinan.</li></ul><p><strong>Kualifikasi Pekerjaan:</strong></p><ul><li>Minimal lulusan Diploma atau Sarjana, diutamakan dari bidang administrasi, sumber daya manusia, sekretaris, atau bidang terkait;</li><li>Teliti, cermat, memiliki kemampuan komunikasi yang baik, rasa tanggung jawab tinggi, serta orientasi pelayanan yang kuat;</li><li>Menguasai perangkat lunak perkantoran (Word, Excel, PowerPoint, dan lain-lain).</li></ul>","Dalam Negeri","7000000","8000000","1","2","71","Administrative Staff"
